Time_Stamp,ShoulderElevationAngle,Trimming_Id,speed,,,
0,81.6751502,0,0,0,,0.071138477
35,81.55503107,0,0.003431975,0,,0.071138477
65,81.5094255,0,0.001520186,0,,0.071138477
99,81.47010291,0,0.001156547,0,,0.071138477
183,81.93600709,0,0.005546478,0,,0.071138477
199,81.71274743,0,0.013953729,0,,0.071138477
234,81.77295805,0,0.001720303,0,,0.071138477
265,81.70734783,0,0.002116459,0,,0.071138477
298,81.72663813,0,0.000584555,0,,0.071138477
333,81.71668058,0,0.000284501,0,,0.071138477
365,81.72866812,0,0.000374611,0,,0.071138477
399,81.64137209,0,0.00256753,0,,0.071138477
435,81.62147857,0,0.000552598,0,,0.071138477
465,81.58120101,0,0.001342585,0,,0.071138477
499,81.55685367,0,0.000716098,0,,0.071138477
533,81.55421013,0,7.77513E-05,0,,0.071138477
565,81.55421918,0,2.82862E-07,0,,0.071138477
599,81.51736049,0,0.001084079,0,,0.071138477
632,81.50219301,0,0.000459621,0,,0.071138477
671,81.47823807,0,0.000614229,0,,0.071138477
698,81.40927321,0,0.002554254,0,,0.071138477
732,81.41099873,0,5.07505E-05,0,,0.071138477
765,81.44460397,0,0.00101834,0,,0.071138477
798,81.41054575,0,0.001032067,0,,0.071138477
837,81.39121112,0,0.00049576,0,,0.071138477
865,81.16268964,0,0.008161481,0,,0.071138477
899,81.04416832,0,0.003485921,0,,0.071138477
933,81.08841405,0,0.001301345,0,,0.071138477
965,81.3890966,0,0.00939633,0,,0.071138477
998,81.31258097,0,0.002318656,0,,0.071138477
1032,81.33413372,0,0.000633904,0,,0.071138477
1066,81.32933887,0,0.000141025,0,,0.071138477
1101,81.2041236,0,0.003577579,0,,0.071138477
1132,81.30095381,0,0.003123555,0,,0.071138477
1165,81.47195632,0,0.005181894,0,,0.071138477
1198,80.72176657,0,0.022733023,0,,0.071138477
1232,81.01711466,0,0.008686708,0,,0.071138477
1265,80.73498993,0,0.008549234,0,,0.071138477
1299,80.59224064,0,0.004198508,0,,0.071138477
1334,80.82276606,0,0.00658644,0,,0.071138477
1365,81.1329345,0,0.010005434,0,,0.071138477
1398,81.06305284,0,0.002117626,0,,0.071138477
1432,81.19605852,0,0.003911932,0,,0.071138477
1465,81.78217892,0,0.017761224,0,,0.071138477
1499,81.85939511,0,0.002271064,0,,0.071138477
1535,81.83708744,0,0.000619658,0,,0.071138477
1567,81.86244773,0,0.000792509,0,,0.071138477
1598,81.90556155,0,0.001390768,0,,0.071138477
1632,82.01029198,0,0.003080307,0,,0.071138477
1665,82.06234732,0,0.001577435,0,,0.071138477
1698,86.46777671,0,0.13349786,1,86.46777671,0.071138477
1734,85.99427153,0,0.013152922,0,85.99427153,0.071138477
1766,83.77333052,0,0.069404407,0,83.77333052,0.071138477
1798,82.80940867,0,0.030122558,0,82.80940867,0.071138477
